代碼,學校名稱,公/私立,縣市名稱,地址,電話,網址
013F01,市立新北特殊教育學校,公立,[01]新北市,[244]新北市林口區文化北路一段425號,(02)26006768,http://www.lkm.ntpc.edu.tw
363F01,市立啟聰學校,公立,[36]臺北市,[103]臺北市大同區重慶北路三段320號,(02)25924446,http://www.tmd.tp.edu.tw
383F01,市立文山特殊教育學校,公立,[38]臺北市,[116]臺北市文山區秀明路一段169號,(02)86615183,http://www.wsses.tp.edu.tw
413F01,市立臺北特殊教育學校,公立,[41]臺北市,[111]臺北市士林區忠誠路二段207巷3號,(02)28749117,http://www.tpmr.tp.edu.tw
413F02,市立啟明學校,公立,[41]臺北市,[111]臺北市士林區忠誠路二段207巷1號,(02)28740670,http://www.tmsb.tp.edu.tw/default_page.asp
033F01,市立桃園特殊教育學校,公立,[03]桃園市,[330]桃園市桃園區德壽街10號,(03)3647099,http://www.tsad.tyc.edu.tw
061F01,私立惠明盲校,私立,[06]臺中市,[428]臺中市大雅區雅潭路四段336號,(04)25661024,http://www.hmsh.tc.edu.tw
063F01,市立臺中啟明學校,公立,[06]臺中市,[421]臺中市后里區三豐路三段936號,(04)25562126,http://www.cmsb.tc.edu.tw/
193F01,市立臺中啟聰學校,公立,[19]臺中市,[407]臺中市西屯區協和里安和路1號,(04)23589577,http://www.thdf.tc.edu.tw/
193F02,市立臺中特殊教育學校,公立,[19]臺中市,[408]臺中市南屯區公益路二段296號,(04)22582289,http://www.tcspe.tc.edu.tw
110F01,國立臺南大學附屬啟聰學校,公立,[11]臺南市,[712]臺南市新化區信義路52號,(06)5900504,http://www.tndsh.tn.edu.tw
210F01,國立臺南特殊教育學校,公立,[21]臺南市,[709]臺南市安南區長和街二段74號,(06)3554591,http://www.tnmr.tn.edu.tw
124F01,市立仁武特殊教育學校,公立,[12]高雄市,[814]高雄市仁武區八卦里澄觀路 1389 號,(07)3749788,http://www.ses.ks.edu.tw
543F01,市立楠梓特殊學校,公立,[54]高雄市,[811]高雄市楠梓區德民路211號,(07)3642007,http://www.nzsmr.kh.edu.tw
583F01,市立高雄特殊教育學校,公立,[58]高雄市,[802]高雄市苓雅區憲政路233巷2號,(07)2235940,http://www.kmsmr.kh.edu.tw
593F01,市立成功特殊教育學校,公立,[59]高雄市,[806]高雄市前鎮區復興三路3號,(07)3304624,http://www.ckmr.kh.edu.tw
020F01,國立宜蘭特殊教育學校,公立,[02]宜蘭縣,[268]宜蘭縣五結鄉國民中路22之20號,(03)9509788,http://www.isse.ilc.edu.tw
040F01,國立新竹特殊教育學校,公立,[04]新竹縣,[302]新竹縣竹北市永興段484地號,(03)5515191,http://www.nhs.hcc.edu.tw
050F01,國立苗栗特殊教育學校,公立,[05]苗栗縣,[360]苗栗市經國路4段825號 ,(037)266498,http://www.mlses.mlc.edu.tw
070F01,國立和美實驗學校,公立,[07]彰化縣,[508]彰化縣和美鎮鹿和路六段115號,(04)7552009,http://www.nhes.edu.tw
070F02,國立彰化特殊教育學校,公立,[07]彰化縣,[511]彰化縣社頭鄉中山路一段306號,(04)8727303,http://www.chsmr.chc.edu.tw
080F01,國立南投特殊教育學校,公立,[08]南投縣,[540]南投縣南投市中興新村仁德路200號,(049)2390773,http://www.ntss.ntct.edu.tw/
090F01,國立雲林特殊教育學校,公立,[09]雲林縣,[630]雲林縣斗南鎮新崙路100號,(05)5969241,http://www.nyses.ylc.edu.tw
130F01,國立屏東特殊教育學校,公立,[13]屏東縣,[920]屏東縣潮州鎮光春路311號,(08)7899639,http://www.pses.ptc.edu.tw/
140F01,國立臺東大學附屬特殊教育學校,公立,[14]臺東縣,[950]臺東縣臺東市中興路三段401巷170號,(089)229912,http://www.nttusps.nttu.edu.tw/
150F01,國立花蓮特殊教育學校,公立,[15]花蓮縣,[973]花蓮縣吉安鄉宜昌村六鄰中山路二段2號,(03)8544225,http://203.71.244.10
170F01,國立基隆特殊教育學校,公立,[17]基隆市,[206]基隆市七堵區堵南街20號,(02)24526332,http://www.klses.kl.edu.tw
200F01,國立嘉義特殊教育學校,公立,[20]嘉義市,[600]嘉義市西區世賢路二段123號,(05)2858549,http://www.cymrs.cy.edu.tw
