代碼,學校名稱,公/私立,縣市名稱,地址,電話,網址
0A01,國立空中大學,公立,[01]新北市,[247]新北市蘆洲區中正路172號,(02)22829355,http://www.nou.edu.tw
0A12,國立臺北科技大學附進修學院,公立,[33]臺北市,[106]臺北市大安區忠孝東路三段1號,(02)27712171,
0A13,國立高雄科技大學附進修學院,公立,[55]高雄市,[807]高雄市三民區建工路415號,(07)3814526,
0A14,國立虎尾科技大學附進修學院,公立,[09]雲林縣,[632]雲林縣虎尾鎮文化路64號,(05)6315000,
0A17,國立臺北商業大學附空中進院,公立,[35]臺北市,[100]臺北市中正區濟南路一段321號,(02)33222777,
0A18,國立臺中科技大學附空中進院,公立,[19]臺中市,[404]臺中市北區三民路三段129號,(04)22195678,
1A15,蘭陽技術學院附進修專校,私立,[02]宜蘭縣,[261]宜蘭縣頭城鎮復興路79號,(03)9771997,
1A24,德明財經科技大學附進修專校,私立,[40]臺北市,[114]臺北市內湖區環山路一段五六號,(02)26585801,
1A26,東南科技大學附進修專校,私立,[01]新北市,[222]新北市深坑區北深路三段一五二號,(02)86625900,
1A38,中華科技大學附進修學院,私立,[39]臺北市,[115]臺北市南港區研究院路三段245號,(02)27821862~4,
1A40,嶺東科技大學附進修學院,私立,[19]臺中市,[408]臺中市南屯區嶺東路一號,(04)23892088,
1A45,龍華科技大學附進修學院,私立,[03]桃園市,[333]桃園市龜山區萬壽路一段三○○號,(02)29023211,
1A49,德明財經科技大學附進修學院,私立,[40]臺北市,[114]臺北市內湖區環山路一段五六號,(02)26585801,
1A50,中國科技大學附進修學院,私立,[38]臺北市,[116]臺北市文山區興隆路三段56號,(02)29313416,
1A51,致理科技大學附進修學院,私立,[01]新北市,[220]新北市板橋區文化路一段313號,(02)22576167,
1A54,南亞技術學院附進修學院,私立,[03]桃園市,[320]桃園市中壢區中山東路三段414號,(03)4361070,
1A56,明新科技大學附進修學院,私立,[04]新竹縣,[304]新竹縣新豐鄉新興路1號,(03)5593142,
1A57,修平科技大學附進修學院,私立,[06]臺中市,[412]臺中市大里區工業路11號,(04)24961100,
1A62,美和科技大學附進修學院,私立,[13]屏東縣,[912]屏東縣內埔鄉美和村屏光路23號,(08)7799821,
1A64,蘭陽技術學院附進修學院,私立,[02]宜蘭縣,[261]宜蘭縣頭城鎮復興路79號,(03)9771997,
1A66,東南科技大學附進修學院,私立,[01]新北市,[222]新北市深坑區北深路三段一五二號,(02)86625900,
1A67,崇右影藝科技大學附進修學院,私立,[17]基隆市,[201]基隆市信義區義七路40號,(02)24237785,
1A71,嘉南藥理大學附進修學院,私立,[11]臺南市,[717]臺南市仁德區二仁路一段60號,(06)2664911,
1A72,元培醫事科技大學附進修學院,私立,[18]新竹市,[300]新竹市香山區元培街306號,(03)5381183,
1A75,元培醫事科技大學附進修專校,私立,[18]新竹市,[300]新竹市香山區元培街306號,(03)5381183,
1A76,東方設計大學附進修學院,私立,[12]高雄市,[829]高雄市湖內區東方路110號,(07)6932011,
1A80,中臺科技大學附進修學院,私立,[19]臺中市,[406]臺中市北屯區大坑廓子里一一號,(04)22391647,
3A01,高雄市立空中大學,公立,[61]高雄市,[812]高雄市小港區大業北路436號,(07)8012008,http://www.ouk.edu.tw
