縣市名稱,鄉鎮市區,學生等級,學校代碼,學校名稱,公/私立,地區屬性,地址,電話,網址,班級數,男教師數,女教師數,男學生數,女學生數,原住民學生比率,上學年男畢業生數,上學年女畢業生數
[01]新北市,金山區,高級中等學校,014338,市立金山高中,公立,偏遠,[208]新北市金山區美田里文化二路2號,(02)24982028,http://www.cshs.ntpc.edu.tw,18,34,62,205,234,11.617312,68,76
[01]新北市,雙溪區,高級中等學校,014347,市立雙溪高中,公立,偏遠,[227]新北市雙溪區梅竹蹊3號,(02)24931028,http://www.sxhs.ntpc.edu.tw,15,25,43,164,126,1.37931,25,45
[01]新北市,石碇區,高級中等學校,014348,市立石碇高中,公立,偏遠,[223]新北市石碇區隆盛里八分寮45號,(02)26631224,http://www.sdhs.ntpc.edu.tw,18,29,45,224,220,0.45045,81,79
[01]新北市,貢寮區,高級中等學校,014399,市立豐珠中學,公立,偏遠,[228]新北市貢寮區美豐里雞母嶺街6-6號,(02)24903727,http://www.fjjh.ntpc.edu.tw/,1,3,10,0,1,0,0,0
[02]宜蘭縣,南澳鄉,高級中等學校,024322,縣立南澳高中,公立,偏遠,[272]宜蘭縣南澳鄉蘇花路二段301號,(03)9981024,http://www.nojh.ilc.edu.tw,9,27,28,112,63,85.714286,34,25
[08]南投縣,仁愛鄉,高級中等學校,080401,國立仁愛高農,公立,極偏,[546]南投縣仁愛鄉大同村山農巷27號,(049)2802619,http://www.ravs.ntct.edu.tw,19,20,29,129,73,63.366337,27,39
[09]雲林縣,麥寮鄉,高級中等學校,094307,縣立麥寮高中,公立,偏遠,[638]雲林縣麥寮鄉中興路310號,(05)6932050,http://www.mljh.ylc.edu.tw,15,51,67,250,211,4.121475,76,54
[09]雲林縣,古坑鄉,高級中等學校,094308,縣立古坑華德福實驗高級中學,公立,特偏,[646]雲林縣古坑鄉荷苞村山峰17號,(05)5822075,http://tw.school.uschoolnet.com/?id=es00003779,3,13,13,17,19,0,3,3
[09]雲林縣,水林鄉,高級中等學校,094326,縣立蔦松藝術高中,公立,偏遠,[652]雲林縣水林鄉松北村1之1號,(05)7841801,http://www.nsjh.ylc.edu.tw/,6,18,29,46,62,0,18,18
[11]臺南市,後壁區,高級中等學校,110314,國立後壁高中,公立,偏遠,[731]臺南市後壁區嘉苳里下茄苳132號,(06)6671031,http://www.hpsh.tn.edu.tw,30,34,50,335,310,1.085271,103,103
[12]高雄市,六龜區,高級中等學校,124333,市立六龜高中,公立,極偏,[844]高雄市六龜區義寶里光復路212號,(07)6891023,http://www.lgm.ks.edu.tw,6,22,25,42,32,18.918919,10,21
[13]屏東縣,佳冬鄉,高級中等學校,130404,國立佳冬高農,公立,偏遠,[931]屏東縣佳冬鄉佳冬村佳農街67號,(08)8662726,http://www.ctvs.ptc.edu.tw,41,41,58,507,332,4.171633,164,128
[13]屏東縣,恆春鎮,高級中等學校,130417,國立恆春工商,公立,特偏,[946]屏東縣恆春鎮恆南路38號,(08)8892010,http://www.hcvs.ptc.edu.tw,33,32,55,386,305,12.879884,106,78
[13]屏東縣,枋寮鄉,高級中等學校,134321,縣立枋寮高中,公立,偏遠,[940]屏東縣枋寮鄉新龍村義民路3號,(08)8782095,http://www.flhs.ptc.edu.tw,13,37,65,157,153,20.322581,40,41
[13]屏東縣,來義鄉,高級中等學校,134334,縣立來義高中,公立,偏遠,[922]屏東縣來義鄉古樓村中正路147號,(08)7850086,http://www.lyhs.ptc.edu.tw,12,25,29,100,67,90.419162,20,21
[14]臺東縣,關山鎮,高級中等學校,140404,國立關山工商,公立,偏遠,[956]臺東縣關山鎮民權路58號,(089)811006,http://www.ksvs.ttct.edu.tw,21,28,28,156,76,58.189655,48,37
[14]臺東縣,成功鎮,高級中等學校,140408,國立成功商水,公立,特偏,[961]臺東縣成功鎮太平路52號,(089)850011,http://www.ckvs.ttct.edu.tw,12,22,13,124,46,59.411765,35,16
[14]臺東縣,蘭嶼鄉,高級中等學校,144322,縣立蘭嶼高中,公立,特偏,[952]臺東縣蘭嶼鄉椰油村37號,(089)732016,http://www.layjh.ttct.edu.tw,3,10,21,42,13,100,12,7
[15]花蓮縣,玉里鎮,高級中等學校,150309,國立玉里高中,公立,偏遠,[981]花蓮縣玉里鎮中華路424號,(03)8886171,http://www.ylsh.hlc.edu.tw,33,32,48,282,212,53.643725,75,73
[15]花蓮縣,光復鄉,高級中等學校,150411,國立光復商工,公立,偏遠,[976]花蓮縣光復鄉林森路100號,(03)8700245,http://www.kfcivs.hlc.edu.tw,16,24,19,133,91,73.660714,34,28
