代碼,學校名稱,公/私立,縣市名稱,地址,電話,網址
014D01,市立新莊國中補校,公立,[01]新北市,[242]新北市新莊區中正路211號,(02)29938400,http://www.hcjh.ntpc.edu.tw
014D02,市立積穗國中補校,公立,[01]新北市,[235]新北市中和區民安街66號,(02)22234747,http://www.gsjh.ntpc.edu.tw
014D03,市立明志國中補校,公立,[01]新北市,[241]新北市三重區中正北路107號,(02)29844132,http://www.mcjh.ntpc.edu.tw
014D04,市立中和國中補校,公立,[01]新北市,[235]新北市中和區興南路二段3巷17號,(02)29424074,http://www.chjhs.ntpc.edu.tw
014D05,市立蘆洲國中補校,公立,[01]新北市,[247]新北市蘆洲區中正路265號,(02)22811571,http://www.lcjh.ntpc.edu.tw
014D06,市立文山國中補校,公立,[01]新北市,[231]新北市新店區文中路38號,(02)29111672,http://www.wsjh.ntpc.edu.tw
014D07,市立光榮國中補校,公立,[01]新北市,[241]新北市三重區介壽路26號,(02)29728775,http://www.grjh.ntpc.edu.tw
014D08,市立瑞芳國中補校,公立,[01]新北市,[224]新北市瑞芳區三爪子坑路1號,(02)24972145,http://www.rfjh.ntpc.edu.tw
014D09,市立淡水國中補校,公立,[01]新北市,[251]新北市淡水區文化里真理街10號,(02)26218821,http://www.tsjh.ntpc.edu.tw
014D10,市立鶯歌國中補校,公立,[01]新北市,[239]新北市鶯歌區尖山埔路108號,(02)26701461,http://www.ykjhs.ntpc.edu.tw
014D12,市立三峽國中補校,公立,[01]新北市,[237]新北市三峽區復興路238號,(02)26711043,http://www.shjhs.ntpc.edu.tw
014D13,市立褔和國中補校,公立,[01]新北市,[234]新北市永和區永利路71號,(02)29261836,http://www.fhjh.ntpc.edu.tw
014D14,市立樹林高中附設國中補校,公立,[01]新北市,[238]新北市樹林區中華路8號,(02)86852011,http://www.slsh.ntpc.edu.tw
014D18,市立林口國中補校,公立,[01]新北市,[244]新北市林口區民治路25號,(02)26011014,http://www.lkjh.ntpc.edu.tw
014D19,市立新泰國中補校,公立,[01]新北市,[242]新北市新莊區新泰路359號,(02)29962375,http://www.htjh.ntpc.edu.tw
014D20,市立海山高中附設國中補校,公立,[01]新北市,[220]新北市板橋區漢生東路215號,(02)29517475#28,http://www.hshs.ntpc.edu.tw
014D25,市立新埔國中補校,公立,[01]新北市,[220]新北市板橋區新海路181號,(02)22580030,http://www.hpjh.ntpc.edu.tw
014D30,市立五股國中補校,公立,[01]新北市,[248]新北市五股區成泰路二段49巷15號,(02)22915224,http://www.wkjh.ntpc.edu.tw
014D32,市立碧華國中補校,公立,[01]新北市,[241]新北市三重區自強路五段66號,(02)29851121,http://www.bhjh.ntpc.edu.tw
014D37,市立福營國中補校,公立,[01]新北市,[242]新北市新莊區富國路105號,(02)22045556,http://www.fyjh.ntpc.edu.tw
014D39,市立八里國中補校,公立,[01]新北市,[249]新北市八里區荖阡坑路15號,(02)26102016,http://www.pljhs.ntpc.edu.tw
014D42,市立丹鳳高中附設國中補校,公立,[01]新北市,[242]新北市新莊區龍安路72號,(02)29089627,http://www.dfsh.ntpc.edu.tw
014D44,市立中正國中補校,公立,[01]新北市,[236]新北市土城區金城路二段247號,(02)22628456,http://www.ccjhs.ntpc.edu.tw
014D45,市立漳和國中補校,公立,[01]新北市,[235]新北市中和區廣福路39號,(02)22488616,http://www.chjh.ntpc.edu.tw
014D47,市立中山國中補校,公立,[01]新北市,[220]新北市板橋區文化路一段188巷56號,(02)22508250#201,http://www.csjh.ntpc.edu.tw
014D48,市立中平國中補校,公立,[01]新北市,[242]新北市新莊區中平路385號,(02)29908092,http://www.cpjh.ntpc.edu.tw
014D49,市立二重國中補校,公立,[01]新北市,[241]新北市三重區忠孝路三段89號,(02)29800164,http://www.ecjh.ntpc.edu.tw
014D50,市立樟樹國中補校,公立,[01]新北市,[221]新北市汐止區樟樹二路135號,(02)26430686,http://www.ctjhs.ntpc.edu.tw
014E01,市立網溪國小補校,公立,[01]新北市,[234]新北市永和區竹林路79號,(02)89264470,http://www.whps.ntpc.edu.tw
014E02,市立正義國小補校,公立,[01]新北市,[241]新北市三重區信義西街31號,(02)29853138,http://www.jyes.ntpc.edu.tw
014E03,市立積穗國小補校,公立,[01]新北市,[235]新北市中和區員山路154號,(02)22225533,http://www.tjsps.ntpc.edu.tw
014E04,市立後埔國小補校,公立,[01]新北市,[220]新北市板橋區重慶路157號,(02)29614142,http://www.hpes.ntpc.edu.tw
014E05,市立民安國小補校,公立,[01]新北市,[242]新北市新莊區民安里民安路261號,(02)22056777,http://www.maes.ntpc.edu.tw
014E06,市立淡水國小補校,公立,[01]新北市,[251]新北市淡水區協元里中山路160號,(02)26212755,http://www.tsps.ntpc.edu.tw
014E07,市立沙崙國小補校,公立,[01]新北市,[220]新北市板橋區篤行路二段132號,(02)26812764,http://www.sles.ntpc.edu.tw
014E08,市立大豐國小補校,公立,[01]新北市,[231]新北市新店區民族路108號,(02)22193609,http://www.dfes.ntpc.edu.tw
014E09,市立鷺江國小補校,公立,[01]新北市,[247]新北市蘆洲區民族路7號,(02)22819980,http://www.lcps.ntpc.edu.tw
014E10,市立泰山國小補校,公立,[01]新北市,[243]新北市泰山區泰林路二段255號,(02)29098842,http://www.tses.ntpc.edu.tw
014E11,市立思賢國小補校,公立,[01]新北市,[242]新北市新莊區自立街229號,(02)29980443,http://www.sies.ntpc.edu.tw
014E14,市立新埔國小補校,公立,[01]新北市,[220]新北市板橋區新翠里陽明街206號,(02)22571830,http://www.spes.ntpc.edu.tw
014E15,市立國光國小補校,公立,[01]新北市,[220]新北市板橋區中正路325巷30號,(02)29680611,http://www.kkes.ntpc.edu.tw
014E16,市立復興國小補校,公立,[01]新北市,[235]新北市中和區復興路301巷6號,(02)22472993,http://www.fsps.ntpc.edu.tw
014E17,市立碧華國小補校,公立,[01]新北市,[241]新北市三重區五華街160號,(02)28577792,http://www.bhes.ntpc.edu.tw
014E18,市立厚德國小補校,公立,[01]新北市,[241]新北市三重區忠孝路一段70號,(02)29868825,http://www.hdes.ntpc.edu.tw
014E19,市立永福國小補校,公立,[01]新北市,[241]新北市三重區永福里永福街66號,(02)22876716,http://www.yfps.ntpc.edu.tw
014E20,市立安坑國小補校,公立,[01]新北市,[231]新北市新店區安忠路36號,(02)22110231,http://www.takes.ntpc.edu.tw
014E21,市立瑞芳國小補校,公立,[01]新北市,[224]新北市瑞芳區龍川里中山路2號,(02)24972058,http://www.rfes.ntpc.edu.tw
014E24,市立三芝國小補校,公立,[01]新北市,[252]新北市三芝區埔頭里育英街22號,(02)26362005,http://www.sces.ntpc.edu.tw
014E25,市立五股國小補校,公立,[01]新北市,[248]新北市五股區五股里成泰路二段49號,(02)22917191,http://www.wkes.ntpc.edu.tw
014E29,市立鳳鳴國小補校,公立,[01]新北市,[239]新北市鶯歌區鳳鳴里永和街120號,(02)26797554,http://www.fmes.ntpc.edu.tw
014E31,市立文德國小補校,公立,[01]新北市,[220]新北市板橋區新翠里英士路179號,(02)22577193,http://www.wdps.ntpc.edu.tw
014E32,市立土城國小補校,公立,[01]新北市,[236]新北市土城區興城路17號,(02)22700177,http://www.ttcps.ntpc.edu.tw
014E34,市立光華國小補校,公立,[01]新北市,[242]新北市新莊區龍安路452號,(02)22058866,http://www.ghes.ntpc.edu.tw
014E35,市立秀朗國小補校,公立,[01]新北市,[234]新北市永和區得和路200號,(02)29420451,http://www.hles.ntpc.edu.tw
014E36,市立鄧公國小補校,公立,[01]新北市,[251]新北市淡水區學府里學府路99號,(02)26297121,http://www.dkes.ntpc.edu.tw
014E40,市立林口國小補校,公立,[01]新北市,[244]新北市林口區菁湖里林口路76號,(02)26011010,http://www.lkes.ntpc.edu.tw
014E42,市立澳底國小補校,公立,[01]新北市,[228]新北市貢寮區真理里延平街10號,(02)24901432,http://www.auti.ntpc.edu.tw
014E45,市立文聖國小補校,公立,[01]新北市,[220]新北市板橋區文聖街86號,(02)22530782,http://www.wses.ntpc.edu.tw
014E47,市立清水國小補校,公立,[01]新北市,[236]新北市土城區金城路二段356號,(02)22618316,http://www.cses.ntpc.edu.tw
014E50,市立建國國小補校,公立,[01]新北市,[239]新北市鶯歌區育英街2號,(02)26709228,http://www.ckps.ntpc.edu.tw
014E51,市立中和國小補校,公立,[01]新北市,[235]新北市中和區中和路100號,(02)22492550,http://www.jhes.ntpc.edu.tw
014E52,市立豐年國小補校,公立,[01]新北市,[242]新北市新莊區國泰里瓊泰路116號,(02)22017102,http://www.fnes.ntpc.edu.tw
014E53,市立丹鳳國小補校,公立,[01]新北市,[242]新北市新莊區中山路三段625號,(02)29035355,http://www.tfon.ntpc.edu.tw
014E62,市立八里國小補校,公立,[01]新北市,[249]新北市八里區舊城里中山路二段338號,(02)26102217,http://www.ples.ntpc.edu.tw
014E64,市立蘆洲國小補校,公立,[01]新北市,[247]新北市蘆洲區中正路100號,(02)22816202,http://www.lces.ntpc.edu.tw
014E66,市立埔墘國小補校,公立,[01]新北市,[220]新北市板橋區成功路54號,(02)29616690,http://www.pces.ntpc.edu.tw
014E71,市立新和國小附設補校,公立,[01]新北市,[231]新北市新店區安和路三段100號,(02)29400170,http://www2.hhps.ntpc.edu.tw
014E72,市立大同國小附設補校,公立,[01]新北市,[238]新北市樹林區大同里大同街43號,(02)86865486,http://www.ttps.ntpc.edu.tw
014E79,市立金龍國小補校,公立,[01]新北市,[221]新北市汐止區明峰街201號,(02)26959941,http://www.gdps.ntpc.edu.tw
014E80,市立成功國小補校,公立,[01]新北市,[247]新北市蘆洲區長安街311號,(02)22858998,http://www.tces.ntpc.edu.tw
014E83,市立三重國小補校,公立,[01]新北市,[241]新北市三重區三和路三段1號,(02)29722095,http://www.tsces.tpc.edu.tw
014E86,市立大觀國小補校,公立,[01]新北市,[220]新北市板橋區大觀路一段30號,(02)29603373,http://www.tgps.ntpc.edu.tw
014E87,市立中園國小補校,公立,[01]新北市,[237]新北市三峽區大同路222巷22弄2號,(02)86712590,http://www.jyps.ntpc.edu.tw
313D04,市立中山國中補校,公立,[31]臺北市,[105]臺北市松山區復興北路361巷7號,(02)27126701,http://www.csjhs.tp.edu.tw
313E01,市立西松國小補校,公立,[31]臺北市,[105]臺北市松山區東光里三民路5號,(02)27609221,http://www.sups.tp.edu.tw
323D02,市立興雅國中補校,公立,[32]臺北市,[110]臺北市信義區松德路168巷15號,(02)27232771,http://www.syajh.tp.edu.tw
323E01,市立永春國小補校,公立,[32]臺北市,[110]臺北市信義區永春里松山路225巷48號,(02)27641314,http://www.ycps.tp.edu.tw
323E02,市立吳興國小補校,公立,[32]臺北市,[110]臺北市信義區松仁路226號,(02)27200226,http://www.wsps.tp.edu.tw
333D02,市立大安國中補校,公立,[33]臺北市,[106]臺北市大安區大安路2段63號,(02)27557131,http://www.tajh.tp.edu.tw
333E01,市立建安國小補校,公立,[33]臺北市,[106]臺北市大安區龍雲里大安路2段99號,(02)27077119,http://www.jnps.tp.edu.tw
343D04,市立北安國中補校,公立,[34]臺北市,[104]臺北市中山區劍潭里明水路325號,(02)25333888,http://www.pajh.tp.edu.tw
343E01,市立中山國小補校,公立,[34]臺北市,[104]臺北市中山區恆安里民權東路1段69號,(02)25914085,http://www.csps.tp.edu.tw
353D04,市立弘道國中補校,公立,[35]臺北市,[100]臺北市中正區公園路21號,(02)23715520,http://www.htjh.tp.edu.tw
353E01,市立河堤國小補校,公立,[35]臺北市,[100]臺北市中正區汀州路二段180號,(02)23677144,http://www.htps.tp.edu.tw
363D04,市立民權國中補校,公立,[36]臺北市,[103]臺北市大同區重慶北路三段1號,(02)25931951,http://www.mcjh.tp.edu.tw
363E01,市立永樂國小補校,公立,[36]臺北市,[103]臺北市大同區南芳里延平北路二段266號,(02)25534882,http://www.ylps.tp.edu.tw
363E02,市立大龍國小補校,公立,[36]臺北市,[103]臺北市大同區保安里哈密街47號,(02)25942635,http://www.dlps.tp.edu.tw
