代碼,學校名稱,公/私立,縣市名稱,地址,電話,網址
10301,國立華僑高級中等學校附設國中,公立,[01]新北市,[220]新北市板橋區大觀路一段32號,(02)29684131,http://www.nocsh.ntpc.edu.tw
11301,私立淡江高中附設國中,私立,[01]新北市,[251]新北市淡水區真理街26號,(02)26203850,http://www.tksh.ntpc.edu.tw
11302,私立康橋高中附設國中,私立,[01]新北市,[231]新北市新店區華城路800號,(02)22166000,http://www.kcbs.ntpc.edu.tw
11306,私立金陵女中附設國中,私立,[01]新北市,[241]新北市三重區重新路五段656號,(02)29956776,http://www.glghs.ntpc.edu.tw
11307,新北市裕德高級中等學校附設國中,私立,[01]新北市,[236]新北市土城區擺接堡路1號,(02)82617889,http://www.yuteh.ntpc.edu.tw/yuteh/
11309,財團法人南山高中附設國中,私立,[01]新北市,[235]新北市中和區廣福路41號,(02)22453000,http://www.nssh.ntpc.edu.tw
11310,財團法人恆毅高中附設國中,私立,[01]新北市,[242]新北市新莊區中正路108號,(02)29923619,http://www.hchs.ntpc.edu.tw
11311,私立聖心女中附設國中,私立,[01]新北市,[249]新北市八里區龍米路一段263號,(02)26182287,http://www.shgsh.ntpc.edu.tw
11312,私立崇義高中附設國中,私立,[01]新北市,[221]新北市汐止區大同路三段68號,(02)86482078,http://www.tyhs.ntpc.edu.tw/
11314,財團法人中華高中附設國中,私立,[01]新北市,[236]新北市土城區城林路2號,(02)22693641,http://www.chsh.ntpc.edu.tw
11316,私立格致高中附設國中,私立,[01]新北市,[241]新北市三重區大智街260號,(02)29855892,http://www.gjsh.ntpc.edu.tw
11317,私立醒吾高中附設國中,私立,[01]新北市,[244]新北市林口區粉寮路一段75巷80號,(02)26012644,http://www.swsh.ntpc.edu.tw
11318,私立徐匯高中附設國中,私立,[01]新北市,[247]新北市蘆洲區中山一路1號,(02)22817565,http://www.sish.ntpc.edu.tw
11322,新北市崇光高中附設國中,私立,[01]新北市,[231]新北市新店區三民路18號,(02)29112543,http://www.ckgsh.ntpc.edu.tw
11323,私立光仁高中附設國中,私立,[01]新北市,[220]新北市板橋區中山路二段255巷18號,(02)29615161,http://www.kjsh.ntpc.edu.tw
11324,私立竹林高中附設國中,私立,[01]新北市,[235]新北市中和區華新街143巷12號,(02)29422128,http://www.clsh.ntpc.edu.tw
11325,私立及人高中附設國中,私立,[01]新北市,[231]新北市新店區安興路1號,(02)22112581,http://www.cjsh.ntpc.edu.tw
11329,財團法人辭修高中附設國中,私立,[01]新北市,[237]新北市三峽區溪東路251號,(02)86761277,http://www.tsshs.ntpc.edu.tw
